Trade Date,Order Type,Security,Quantity,Executed Price
05/22/2023,Buy,SCI,1.0,65.085
05/22/2023,Buy,SCI,1.0,65.04
05/22/2023,Buy,SCI,1.0,64.97
05/22/2023,Sell,QQQ,1.0,337.73
05/22/2023,Buy,ANET,45,145.37
05/23/2023,Buy,SCI,6.0,62.83
05/23/2023,Buy,WM,2.0,163.2782
05/23/2023,Buy,BRK-B,2.0,325.7769
05/23/2023,Buy,PTLC,10.0,38.63
05/23/2023,Buy,PTLC,5.0,38.63
05/23/2023,Buy,DIA,1.0,332.0189
05/23/2023,Buy,AAPL,1.0,171.81
05/23/2023,Buy,BRK-B,1.0,324.335
05/24/2023,Sell,ANET,20,141.00
05/25/2023,Sell,VTSAX,4.0,100.09
05/25/2023,Sell,QQQ,5.0,339.965
05/25/2023,Sell,SPY,1.0,414.7501
05/25/2023,Sell,VOO,1.0,381.03
05/25/2023,Buy,BRK-B,1.0,318.87
05/25/2023,Buy,WM,1.0,162.069
05/25/2023,Buy,DIA,1.0,327.44
05/25/2023,Buy,SCHD,2.0,69.59
05/25/2023,Buy,SCI,2.0,63.195
05/25/2023,Sell,ANET,25,156.01
05/26/2023,Buy,WM,1.0,161.245
05/26/2023,Sell,QQQ,3.0,348.265
05/26/2023,Sell,SPY,2.0,419.965
05/26/2023,Sell,QQQ,1.0,348.3519
05/26/2023,Sell,VOO,2.0,385.8909
05/26/2023,Sell,VTSAX,8.0,101.41
05/26/2023,Buy,FNSFX,72.019,11.86
05/30/2023,Buy,SCHD,1.0,69.985
05/30/2023,Sell,QQQ,1.0,351.58
05/30/2023,Sell,QQQ,1.0,351.59
05/30/2023,Buy,DIA,1.0,329.6184
05/30/2023,Buy,SCHD,2.0,70.165
05/30/2023,Buy,PTLC,4.0,39.0179
05/31/2023,Buy,BRK-B,1.0,320.0278
05/31/2023,Buy,PTLC,15.0,38.6978
05/31/2023,Buy,DIA,1.0,328.31
05/31/2023,Buy,SCHD,4.0,69.5958
05/31/2023,Buy,SCI,12.0,63.479
05/31/2023,Buy,SCI,2.0,63.4876
06/01/2023,Sell,QQQ,2.0,351.585
06/01/2023,Sell,SPY,2.0,421.6429
06/01/2023,Sell,VOO,2.0,387.3618
06/01/2023,Sell,VTSAX,8.0,101.84
06/02/2023,Sell,VTSAX,8.0,103.55
06/02/2023,Sell,QQQ,2.0,354.9419
06/02/2023,Sell,SPY,2.0,427.605
06/02/2023,Sell,VOO,2.0,392.945
06/05/2023,Sell,VTSAX,1.0,103.26
06/05/2023,Buy,BRK-B,1.0,328.5543
06/05/2023,Buy,PTLC,10.0,39.695
06/05/2023,Buy,SCI,2.0,63.435
06/05/2023,Buy,SCHD,2.0,70.7784
06/05/2023,Sell,QQQ,2.0,357.182
06/05/2023,Buy,SCI,4.0,63.8976
06/05/2023,Buy,SCHD,2.0,71.065
06/05/2023,Buy,DIA,1.0,337.2197
06/06/2023,Buy,WM,2.0,163.8
06/06/2023,Sell,VTSAX,1.0,103.74
06/06/2023,Buy,PTLC,1.0,39.6299
06/06/2023,Buy,WM,2.0,162.33
06/06/2023,Buy,SCHD,1.0,70.6233
06/07/2023,Buy,PTLC,5.0,39.6897
06/07/2023,Buy,WM,1.0,162.699
06/07/2023,Sell,VTSAX,2.0,103.5
